ID,Name
1,Accounting
2,African Studies
3,Anthropology
4,Art History
5,Asian Studies
6,Biology
7,Business Administration
8,"Central, East European, and Eurasian Studies"
9,Chemistry
10,Communication
11,Computer Science
12,Criminal Justice
13,Earth Science
14,Economics
15,English: Literature
16,English: Creative Writing
17,English: Professional Writing
18,Environmental Studies
19,Ethnic Studies
20,Exercise Science
21,Film Studies
22,Forensic Science
23,Geography
24,German Studies
25,History
26,Instructional Technology
27,Journalism
28,Judaic Studies
29,Latin American and Caribbean Studies
30,Library Information Service
31,Linguistics
32,Management
33,Management of Information Systems
34,Marine Studies
35,Marketing
36,Mathematics
37,Media Studies
38,Music
39,Philosophy
40,Physics
41,Political Science
42,Psychology
43,Public Health
44,Public Health: Health and Society
45,Public Health: Health Services Administration
46,Public Health: Nutrition
47,Public Health: Wellness
48,Real Estate
49,Religious Studies
50,School Health Education
51,Sociology
52,Studio Art
53,Theatre
54,Urban Studies
55,Women’s Studies
56,World Languages and Literatures
